id,name,district,coordinates,category,vibes,environmental_tags,demographic_tags,summary_desc,facilities_desc,tips_desc
aead001,Monster Building Spot,Eastern,"22.284277, 114.212469",Urban & Architecture,Insta-Worthy,Urban,"Tourist Friendly, Family Friendly","The Monster Building in Quarry Bay is a striking example of high-density urban living in Hong Kong, featuring a complex of five interconnected apartments. Originally built in the 1960s as a common home, it has become an iconic photography and film location, frequently featured in Hollywood movies. It’s a popular destination for architecture enthusiasts and urban explorers, with over 2,200 apartment units and thousands of residents.","Free of charge, with two entrances on King’s Road. Accessible by subway, bus, taxi, or ding ding.",Allow 30 minutes to take pictures without disturbing locals. Support the locals by visiting cafes and stores in the complex. Do not disturb the locals as this is their living place.
aead002,Chun Yeung Street,Eastern,"22.291335, 114.197828",Urban & Architecture,Local Favorites,"Outdoor, Urban",Tourist Friendly,"This location offers a unique experience with a wet market and tram views, particularly popular for photographers. It’s a vibrant, bustling area with a strong local atmosphere.","The location features a wet market with shops and stalls, and a tramway passing through the market. MTR exit: North Point station A1 or eastbound tram heading towards the North Point terminus.","Be prepared for crowds, especially during peak hours, and consider bringing cash as prices may be higher than other markets. Enjoy the atmosphere and capture some memorable photos."
aead003,Cityplaza,Eastern,"22.286438, 114.217314",Shopping,Local Favorites,Urban,"Tourist Friendly, Family Friendly","City Plaza is a large-scale mall in Taikoo Shing, offering a wide selection of shops, restaurants, and entertainment options. It features an ice rink, cinema, cafes, shops, and restaurants, catering to a diverse range of shoppers and visitors.  The plaza is known for its extensive selection of brands, including Zara, H&M, and Uniqlo, alongside more affordable options.  It’s a popular destination for families, with a Lego store, ToysRUs, and McDonalds.  The plaza is generally easy to navigate and offers late-night hours.","The plaza features an ice rink, cinema, cafes, shops, and restaurants.  It’s easily accessible via the MTR (Tai Koo station).  There is a large selection of well-known, chain-store brands available, including Zara, H&M, Club Monaco, Giordano, Levis, Marks & Spencer, Uniqlo, and Superdry.","For shopping, City Plaza is a great place to explore a wide range of brands and stores.  It’s particularly popular for families and those seeking a variety of dining options.  Be aware of peak shopping hours, especially during weekends."
aead004,Lei Yue Mun Park,Eastern,"22.277737, 114.232659",Nature & Scenery,Chill,"Outdoor, Steep Terrain","Family Friendly, Tourist Friendly","Lei Yue Mun Park is a large park with a playground, archery, karaoke, and a horse riding school. It offers a scenic outdoor space with a steep hill.","Playground, Archery, Karaoke room, Bicycle rental, Board games, Bracelet making workshop, BBQ facilities, Horseback riding school, canteen.","Bring mosquito repellent, wear comfortable shoes for steep slopes, and bring your own drinks to save money. Be prepared for pricey vending machine drinks and the strict coach at the archery range."
aisd001,Pui O Beach,Islands,"22.238876, 113.978691",Recreation & Activities,"Chill, Local Favorites",Outdoor,Tourist Friendly,"Pui O Beach, located on the south side of Lantau Island, offers a relaxing experience with a mix of black and yellow sand, a popular weekend destination, and opportunities for swimming, camping, and exploring the surrounding landscape.","Facilities include Beach, Lifeguard Station, Beach Shack Cafe, Rental, and Camping.",Visit during the off-season for fewer crowds. Bring sunscreen and a hat. Be mindful of the mud on the beach. Check the beach's status before heading there. Enjoy the scenic views and the local culture.
aisd002,Tai O,Islands,"22.254151, 113.862149",Nature & Scenary,"Local Favorites, Hidden",Outdoor,Tourist Friendly,"Tai O is a charming fishing village in Hong Kong, offering a glimpse into traditional life. Located near the Big Buddha, it features stilts over the water and a unique atmosphere. Visitors can easily access the village via bus from the Big Buddha and ca, and enjoy boat rides to see pink dolphins. The village is known for its fish products, curried fish balls, and local sauces.",Bus services connect Tai O to the Big Buddha. Boat rides are available to see pink dolphins.,"Explore the village on foot, try the local curried fish balls and sauces, and take advantage of the boat rides to see the pink dolphins. Be prepared for a slower pace of travel due to the village's size."
aisd003,Citygate Outlets,Islands,"22.289652, 113.941258",Shopping,Local Favorites,Indoor,Tourist Friendly,"Citygate Outlets is a large shopping mall located near an airport, offering a wide variety of retail outlets, food options, and amenities. It features air conditioning, numerous shops, and convenient transportation links to the city center.","The mall features MTR exits, bus routes, and ample space for walking. There are restrooms available.  Nearby apartments are also available for those needing a place to stay.","For efficient travel, utilize the MTR station nearby.  Be prepared for crowds, especially during peak hours.  Check for deals and promotions on various shops."
akcd001,Lung Cheung Road Sitting-out Area,Kowloon City,"22.342497, 114.174208",Nature & Scenery,"Insta-Worthy, Scenic",Outdoor,"Tourist Friendly, Solo Travelers","The Lung Cheung Road Observatory is a small location offering panoramic city views. It provides a stunning vista of the skyline framed by mountains and greenery, particularly impressive during both daytime and nighttime. The area is known for its unobstructed views and peaceful atmosphere. Visitors can easily access this vantage point.","The Lung Cheung Road Observatory offers sweeping, unobstructed views of the city skyline. Transportation options include taking a bus directly to the Phoenix House stop, or a 15-minute uphill walk from the Moonbeam Terrace bus stop.",Bring a camera to capture the stunning views. Consider visiting after dark for the best nighttime panorama. Be prepared for a slightly challenging uphill walk if taking the bus route alighting at Moonbeam Terrace.
akcd002,Kowloon Walled City Park,Kowloon City,"22.332218, 114.190258",Heritage & Culture,"Hidden, Local Favorites",Outdoor,"Tourist Friendly, Solo Travelers, Elderly Friendly","Kowloon Walled Park is a historical park in Hong Kong, representing a unique territory with a complex past. The park incorporates restored former houses and offers a glimpse into the city's history. It provides a peaceful escape from the city's bustle, featuring landscaped gardens and traditional Chinese design. The park’s size is considerable, offering ample space for exploration and relaxation.","Visitors can access the park by taking the subway to Sung Wong Toi then exit from B3, then walking two gates. A free exhibition from the movie Walled in, twilight of the warriors is available, but requires timed tickets. The park includes a basketball court, soccer court, and a cycling area. Traditional Chinese garden design, winding paths, ponds, and pavilions are present within the park.",Walled in exhibition is free. Consider visiting during quieter times to avoid crowds and enjoy a more peaceful experience. The park is well-maintained and offers a pleasant walking experience.
akcd003,Kai Tak Sports Park,Kowloon City,"22.323867, 114.197860",Recreation & Activities,"Chill, Insta-Worthy",Outdoor,"Tourist Friendly, Family Friendly, Solo Travelers","Kai Tak Sports Park is a large open space developed from the former Kai Tak Airport Grounds. It encompasses sports facilities, residential towers, restaurants, and malls, spanning a significant area between Sung Wong Toi and Kai Tak MTR Stations. The park features a 10,000-capacity sports ground and a 50,000-seat stadium. The area offers a blend of recreational activities, shopping, and dining options, creating a vibrant and modern atmosphere.","Visitors can access the park by exiting Kai Tak Station on the Tuen Ma Line. It involves a considerable walk due to the expansive area. The park includes large-scale sculptures, fountain pools, benches, and covered walkways for shade and protection from the elements. Several malls are located around the area, offering a variety of food choices. Public toilets are available within the area. The waterfront is beginning to open, utilizing the old airport runway and extending to the adjacent cruise terminal.",Visitors should be prepared for a long walk from the MTR exits. The malls are good places to cool down on hot summer days. Locals frequently visit the park for walks and dog-walking.
aktd001,Laguna Park,Kwun Tong,"22.306964, 114.226098",Nature & Scenery,"Chill, Local Favorites",Outdoor,"Family Friendly, Elderly Friendly, Solo Travelers","Laguna Park is a large neighborhood park situated adjacent to Laguna City, serving a residential community of over 20,000 people. It offers a green space for recreation and relaxation, featuring jogging tracks and fitness equipment. The park’s origins date back to 1991 as part of a housing development marketing campaign. While functional, it doesn’t offer extraordinary features and can be crowded during peak times.","The park includes a children’s playground, jogging track, fitness equipment, benches, public restrooms, and smaller water fountains. There are trees providing shade. Access to the park is available via local residential streets.","Avoid visiting during peak hours if you dislike loud music."
aktd002,Jordan Valley Park,Kwun Tong,"22.329514, 114.220712",Recreation & Activities,"Chill, Local Favorites",Outdoor,"Tourist Friendly, Family Friendly, Solo Travelers","Jordan Valley Park is a large park offering green spaces and recreational activities. It features expansive lawns, a model car racing track, and a family-friendly climbing trail. The park provides a relaxing escape from the city, with well-maintained facilities and ample space for various activities. It’s a popular spot for families and individuals seeking outdoor recreation.","The park has two central lawns suitable for running and relaxing, and it includes running trails with varying routes and inclines. There is a remote car circuit for children to enjoy, and the Jordan Valley Morning Trail provides a family-friendly climbing experience. The park also offers a car park. It is 15 minute walk away from MTR Kwun Tong Station.","Ask the staff to heat up your pastry, and avoid visiting during peak hours if you dislike loud music. The car park can be limited, and visitors may need to park at the police apartments if it is full."
akwd001,Central Kwai Chung Park,Kwai Tsing,"22.356277, 114.132864",Nature & Scenery,"Hidden, Local Favorites",Outdoor,"Tourist Friendly, Family Friendly, Solo Travelers","Central Kwai Chung Park is a hidden park located in the industrial district of Hong Kong. It offers walking trails, sports courts, and shaded areas, providing a peaceful escape from the urban environment. The park boasts rich biodiversity and interesting historical features. It’s an oasis of nature within the city.","The park offers functional facilities, including two water dispensers and toilets. However, the walls on the sports courts are noted to be quite short. There are many little paths and places to explore within the park.",Avoid visiting during peak hours if you dislike loud music. Be aware of mosquitoes and consider bringing repellent. The park is suitable for easy hiking and jogging.
akwd002,Kwai Chung Plaza,Kwai Tsing,"22.358148, 114.127621",Shopping,"Bustling, Local Favorites",Indoor,"Tourist Friendly, Solo Travelers, Budget","Kwai Chung Plaza is a small, unique shopping venue located outside the Kwai Fong MTR Station. It offers a vibrant and lively atmosphere with hundreds of small, locally-owned shops and kiosks. The plaza is known for its budget-friendly prices and a diverse selection of goods, reminiscent of shopping in Southeast Asian cities. It’s a bustling and welcoming space for shoppers seeking a different experience.","Kwai Chung Plaza is an indoor shopping venue accessible via the Kwai Fong MTR Station (exit D). The property opened in 1990 and features multiple floors, offering a variety of shops and eateries. There are several floors with food shops and a level selling fresh food such as vegetables and fruits. The plaza can be incredibly crowded, and while some recognizable brand name retailers and casual eateries are present, most of the businesses are locally owned. Taxi availability is assumed, but specific details are not mentioned.","Be prepared for crowds and potential noise. Haggling is expected when shopping at the kiosks. This plaza offers a unique shopping experience, reminiscent of Southeast Asian markets, and is a good option for budget-conscious shoppers."
anod001,Sha Tau Kok,North,"22.546093959,114.224355423",Nature & Scenery,"Insta-Worthy, Hidden",Outdoor,"Tourist Friendly, Solo Travelers","Located at the border between the North District of the New Territories in Hong Kong and the Yantian District of Shenzhen in the Mainland, Sha Tau Kok was once a Frontier Closed Area. Following its opening, it has now become a popular destination for day trips, requiring a Closed Area Permit for entry. The first and second phases of Sha Tau Kok Pier have opened, providing transportation options for both individual travelers and day-trip tour groups. The area features spectacular coastlines and unique historical landmarks, such as vintage road signs and the Sun Moon Pavilion. Sha Tau Kok is renowned for its beautiful sea views and cultural history.","Sha Tau Kok Pier is 280 meters long; originally built in the 1960s and later reconstructed in 2004, it is only a 20 to 30-minute boat ride from Kat O and Ap Chau. The pier promenade is a choice for romantic strolls. At the end of the pier, ""The Ends of the Earth"" paired with a pure white lighthouse offers beautiful scenery. Shun Ping Street features murals on the walls painted by Sha Tau Kok primary school students. At the end of the pier, ""The Ends of the Earth"" paired with a pure white lighthouse offers beautiful scenery. The Old Sha Tau Kok Fire Station is a distinctive landmark of Sha Tau Kok, preserving its former appearance and displaying a 1:1 replica of a century-old hand-drawn fire engine. Chung Ying Street is located at the border and was once a trading center for Hong Kong merchants during the early Reform and Opening-up period; it is now a site of historical witness, featuring a wishing lookout and a garden modeled after the style of old Hong Kong railway stations.","Apply for a Closed Area Permit to visit Sha Tau Kok. Kaito ferries are available to reach tourist hotspots such as Lai Chi Wo, Kat O, and Ap Chau. Consider avoiding peak hours to avoid crowds. Sha Tau Kok Pier offers a romantic walking route, featuring murals by Sha Tau Kok primary school students on the walls. Enjoy the lighthouse and sea views at ""The Ends of the Earth."" The Old Sha Tau Kok Fire Station displays a vintage fire engine and is a great spot for photos. Chung Ying Street Garden provides an opportunity to view Chung Ying Street and allows for hanging wishing plaques."
askd003,High Island Reservoir East Dam,Sai Kung,"22.362050, 114.371522",Nature & Scenery,"Insta-Worthy, Hidden",Outdoor,"Tourist Friendly, Solo Travelers, Elderly Friendly","High Island Reservoir and its surrounding Sai Kung East Country Park area offer stunning natural beauty and a peaceful escape from city life. The reservoir is massive, featuring breathtaking views of turquoise water, rugged coastline, and unique hexagonal rock columns. It’s a popular destination for nature lovers and hikers, providing a different side of Hong Kong. The area is known for its scenic trails and diverse landscapes. It’s a large area with a mix of easy and challenging walking routes.","There are limited facilities available at High Island Reservoir. Transportation options include public buses and green taxis; a bus change is required, and the final leg involves a 30-minute taxi ride from the northeast of Hong Kong. The area offers views of the dam, island, cave, and lava columns.",Bring enough water and snacks as facilities are limited. Consider visiting during sunrise or sunset for optimal photography opportunities. The area is easily accessible by taxi or public transportation (minibus change required). It’s a good starting point for longer or more challenging hikes.
asod001,Cape Collision Battery,Southern,"22.253560, 114.255455",Nature & Scenery,"Hidden, Insta-Worthy","Outdoor, Steep Terrain","Tourist Friendly, Solo Travelers","Cape Collinson Battery is a hidden gem offering panoramic ocean views and sea cliffs. It’s a peaceful escape from the city, suitable for short adventures or quiet strolls. The location is accessible via a trail, though it requires some climbing. The area is relatively small and offers a unique perspective of the coastline.","There is no official trail to the battery, but steps have been added to the fence marking the trail-head. Access requires a 30-minute walk from Siu Sai Wan to Big Wave Bay. The path to the battery is a hiking trail, and the area can be a bit less maintained. Be cautious when exploring the battery due to recent damage and rocks from a typhoon.","Bring enough water and proper footwear for the hike. Use mosquito repellent, especially on hot days. Consider visiting on a weekday to avoid crowds. Be careful when exploring the battery due to recent damage."
asod002,Tai Tam Tuk Reservoir Dam Viewpoint,Southern,"22.244548, 114.221863",Nature & Scenery,"Chill, Hidden","Outdoor, Budget, Free","Tourist Friendly, Family Friendly, Solo Travelers","This location is a large reservoir situated in the Tai Tam Valley and Country Park on Hong Kong Island. It offers a peaceful escape from the city, characterized by greenery, waterfalls, and a dam. The area is known for its scenic beauty and historical waterworks structures. It is a popular destination for both locals and tourists seeking a relaxing experience.","Visitors can access the reservoir via a casual and easy hike through the Tai Tam Waterworks Heritage Trail, starting from the south entrance or the northern entrance. Toilets, a water refill station, and drink machines are located at the south entrance. There are also a few BBQ spots along the Tai Tam Tuk reservoirs for picnics. Bus route 14 stops at Tai Tam Reservoir North to facilitate access.","The reservoir is particularly impressive after heavy rainfall, showcasing the dam in full swing. Consider visiting during good weather for optimal photography. Explore Tai Tam Tuk Village for a peaceful experience. You can choose different routes to reach the reservoir depending on your starting point."
